GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.52396
Clock = 12720863.000000, Chrono = 14851131, TimeR = 15.000000
Clock = 39620244.000000, Chrono = 76968120, TimeR = 77.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
Clock = 10387159.000000, Chrono = 7973013, TimeR = 8.000000
Clock = 35830270.000000, Chrono = 72906327, TimeR = 73.000000

transTime, transClock, feedNetTime, feedNetClock, netTime, netClock
11161, 10613, 232812, 342654, 898815, 1319683
11210, 11077, 2564, 5133, 865605, 1170814
19772, 10936, 2231, 4465, 518288, 670826
18146, 17075, 2220, 4443, 613219, 762028
12731, 22419, 2216, 4437, 577238, 734649
11157, 20492, 2238, 4481, 549216, 696061
13999, 24090, 2240, 4482, 528061, 674117
11522, 11515, 2218, 4436, 632735, 852044
15437, 25976, 2559, 5123, 506698, 657835
14000, 24669, 2315, 4633, 592265, 752274
12685, 15878, 2710, 5425, 637398, 819897
11683, 19298, 2557, 5119, 656541, 721858
11196, 16831, 2578, 2580, 766062, 289266
12110, 19146, 21922, 6412, 705498, 281427
11045, 18398, 2915, 2916, 742588, 278040
11427, 18884, 3390, 3374, 704935, 271917
11782, 19510, 3081, 3060, 619553, 280506
10976, 16183, 5645, 5342, 732116, 295746
11320, 18697, 3014, 2907, 711906, 291384
11182, 16776, 2830, 2674, 631747, 269717
12029, 20134, 3902, 3904, 733829, 295288
11014, 14277, 5636, 5418, 764361, 279168
12173, 18924, 2767, 2591, 618616, 274149
10644, 10635, 2673, 2659, 643705, 279519
11021, 11013, 3708, 3710, 746328, 276090
11154, 11146, 2629, 2595, 601583, 256292
11836, 11827, 2692, 2605, 736430, 269345
12100, 20010, 4124, 4010, 657105, 270810
12063, 20063, 2642, 2643, 710811, 277234
11636, 19318, 8221, 4648, 779237, 302270
13069, 18564, 2923, 2926, 713016, 262183
15802, 17003, 2954, 2937, 807876, 288391
11151, 18354, 2429, 2410, 815565, 296188
12065, 18525, 4101, 4103, 768173, 289902
11474, 18964, 3171, 3065, 704912, 278979
11289, 18514, 4032, 3870, 714997, 276710
12052, 11866, 2901, 2881, 799392, 289470
14304, 20759, 3674, 3675, 698897, 284623
10607, 10598, 3119, 3042, 738171, 273825
25070, 30907, 5320, 5204, 721980, 291458
22312, 31922, 4331, 4156, 743259, 293787
22881, 33289, 3544, 3546, 717773, 302771
11576, 11243, 3831, 3724, 782336, 292683
13941, 18147, 3147, 3053, 766215, 284070
13957, 20410, 4024, 3825, 744532, 281488
14622, 17592, 2769, 2297, 666880, 278091
19641, 27896, 3889, 3891, 783040, 291581
27436, 41104, 2753, 2754, 758272, 269642
11687, 12616, 2615, 2571, 641502, 285657
13239, 16479, 2748, 2750, 647563, 258826
14551, 20498, 4241, 4038, 685449, 292434
24130, 36116, 3235, 3112, 653719, 281017
25213, 38518, 15234, 3960, 692197, 275296
26228, 39531, 3734, 3709, 605712, 286525
13054, 20310, 22335, 6094, 938487, 298268
11154, 10594, 3811, 3813, 741820, 287822
10986, 10482, 5298, 5300, 841052, 303533
11886, 11070, 4050, 3831, 818759, 284628
25920, 39234, 2385, 2386, 665814, 276491
22901, 33043, 5426, 5196, 729261, 282210
13357, 22092, 3019, 2944, 901865, 287554
11500, 10682, 3435, 3363, 773915, 298733
11508, 10699, 4374, 4235, 775829, 293569
21204, 30967, 3851, 3853, 770658, 280556
20029, 28339, 3389, 3369, 766628, 306282
13310, 22796, 5088, 4787, 835662, 279616
13642, 19321, 3726, 3706, 766357, 297823
10415, 10405, 5868, 5250, 731348, 271470
12198, 20016, 3093, 2932, 712246, 276231
19559, 23165, 3721, 3703, 605732, 281228
11767, 19543, 3860, 3863, 674888, 291717
12302, 20224, 3042, 2962, 779465, 303383
25408, 38775, 15329, 3050, 746909, 281396
12917, 18911, 4249, 4252, 774626, 278315
15066, 22268, 2778, 2764, 896917, 303374
14119, 15219, 2946, 2947, 671546, 270224
22174, 32491, 5474, 3530, 729812, 281705
25955, 39929, 2680, 2669, 781777, 283875
13573, 22479, 3383, 2951, 794447, 284347
13214, 17955, 3791, 3791, 737661, 284228
14037, 23379, 3165, 3054, 636349, 296809
11957, 11832, 14885, 3691, 753259, 269507
21359, 30701, 2469, 2471, 635505, 282757
20135, 29020, 2687, 2605, 683303, 282868
15990, 20857, 2689, 2690, 605973, 255132
13408, 20281, 2231, 2233, 665745, 269285
12359, 11824, 3973, 3944, 703936, 278086
11250, 10784, 3091, 2922, 747982, 278897
11094, 10348, 3859, 3735, 765927, 297500
25424, 37900, 3058, 2987, 789509, 281786
21121, 30643, 2600, 2602, 649213, 289474
11632, 19312, 8868, 8141, 795394, 300104
11802, 17309, 9197, 8928, 867324, 282723
12833, 19507, 3815, 3713, 760738, 290576
10773, 10446, 5807, 5166, 719046, 284038
12522, 11594, 2914, 2897, 714055, 294969
10240, 10232, 2727, 2729, 772257, 280975
11107, 18437, 3789, 3790, 726898, 292304
12913, 21793, 3382, 3361, 716819, 291290
12898, 21148, 3891, 3893, 696312, 277791
