Detection method: Serial
Clock = 572368319.000000, Chrono = 630752219, TimeR = 631.000000
Clock = 572368325.000000, Chrono = 630752222, TimeR = 631.000000

GPU use = 0
clockPerSec,1000000
FPS=0.873563
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
12333, 17, 1180082, 12019, 20, 1085228
11057, 17, 1194737, 10930, 21, 1088534
14528, 16, 1189505, 10998, 21, 1086192
11506, 17, 1190549, 11026, 21, 1088526
10946, 17, 1189968, 10909, 20, 1086786
11622, 17, 1189867, 11298, 20, 1085023
10375, 16, 1192641, 10272, 20, 1087704
11033, 16, 1201405, 10929, 20, 1085133
11033, 17, 1194110, 10912, 20, 1087769
10488, 16, 1190663, 10386, 20, 1085912
11520, 17, 1196687, 10942, 21, 1087142
10618, 16, 1201587, 10482, 20, 1085957
10877, 16, 1194410, 10874, 20, 1088022
10729, 17, 1194933, 10622, 22, 1086985
10491, 16, 1191275, 10436, 20, 1086918
10985, 16, 1202371, 10859, 20, 1086882
11272, 16, 1189566, 10863, 20, 1087242
11003, 18, 1191217, 10897, 21, 1086495
12710, 16, 1183255, 11163, 20, 1085336
10837, 32, 1200284, 10734, 37, 1086898
17997, 16, 1182291, 11263, 21, 1085489
11141, 16, 1192184, 10954, 20, 1088727
10843, 16, 1187037, 10704, 20, 1085748
11585, 19, 1202850, 11183, 24, 1088375
11077, 16, 1189858, 10958, 20, 1086292
11353, 17, 1179468, 11223, 21, 1084720
11836, 17, 1194976, 11312, 21, 1088369
14557, 17, 1198487, 11126, 21, 1086073
10907, 16, 1193376, 10888, 20, 1088159
18821, 17, 1184406, 11886, 21, 1084997
11029, 16, 1196367, 10910, 20, 1089691
11084, 16, 1202000, 10942, 20, 1085744
10810, 16, 1193666, 10680, 21, 1088181
11889, 16, 1193694, 11852, 20, 1086472
11106, 16, 1198264, 10939, 20, 1086842
10415, 17, 1202795, 10259, 21, 1085923
10662, 16, 1208030, 10413, 21, 1088619
10701, 16, 1194552, 10390, 19, 1086092
11202, 16, 1195639, 10946, 21, 1088192
11980, 16, 1205215, 11872, 19, 1086156
11335, 16, 1196563, 11207, 21, 1088977
11802, 17, 1195791, 11694, 20, 1087425
11435, 16, 1195854, 11214, 21, 1088123
10503, 16, 1206297, 10357, 20, 1085845
10590, 17, 1196598, 10332, 20, 1088800
10494, 16, 1193929, 10458, 21, 1087218
10977, 16, 1194632, 10652, 21, 1086518
10803, 16, 1201827, 10683, 20, 1088041
15274, 17, 1185201, 12092, 21, 1086066
10528, 16, 1196701, 10502, 20, 1089000
10253, 17, 1191000, 10120, 20, 1085936
11249, 17, 1205642, 11126, 21, 1087768
10793, 17, 1189477, 10695, 20, 1087043
10891, 16, 1180333, 10549, 21, 1084683
11146, 16, 1194202, 11143, 20, 1087500
13939, 16, 1184374, 11181, 21, 1085136
10361, 16, 1191749, 10239, 36, 1088023
14252, 17, 1183713, 11232, 20, 1085955
12194, 16, 1194341, 11626, 21, 1087891
11729, 16, 1188204, 11291, 20, 1085499
11642, 17, 1193130, 11393, 22, 1087761
11292, 16, 1190787, 10881, 20, 1085749
10451, 17, 1181682, 10402, 20, 1084942
11447, 16, 1193012, 11321, 20, 1087179
10341, 16, 1197688, 10241, 20, 1085875
18846, 17, 1185699, 12200, 21, 1085426
11904, 17, 1190695, 11796, 21, 1087900
11984, 16, 1190164, 11790, 20, 1085156
11575, 16, 1195106, 10995, 21, 1088175
11905, 16, 1192181, 11772, 20, 1087051
11414, 17, 1193597, 11008, 22, 1086185
11957, 16, 1192522, 11777, 20, 1086615
24868, 17, 1188317, 12036, 22, 1084938
11402, 17, 1194838, 11039, 21, 1087437
11728, 16, 1190163, 11725, 21, 1086212
11237, 16, 1191332, 10933, 20, 1087032
11783, 16, 1203686, 11756, 20, 1086139
10602, 34, 1190244, 10420, 38, 1087026
11760, 16, 1193585, 11757, 20, 1087069
18971, 17, 1182439, 12109, 21, 1085093
11951, 17, 1200003, 11826, 20, 1088348
19213, 17, 1182918, 12450, 21, 1085457
11884, 16, 1189151, 11765, 21, 1088415
11870, 16, 1189162, 11766, 20, 1085464
12055, 17, 1212581, 11397, 21, 1088596
