Detection method: Pipeline
Clock = 26614067.000000, Chrono = 19164798, TimeR = 20.000000
Clock = 105092488.000000, Chrono = 216622715, TimeR = 217.000000

GPU use = 1
Name, asyncEngineCount, maxThreadsPerMultiProcessor, totalGlobalMem, totalConstMem, unifiedAddressing, multiProcessorCount, clockRate, concurrentKernels, deviceOverlap
GK20A, 1, 2048, 1984385024, 65536, 1, 1, 852000, 1, 1
clockPerSec,1000000
FPS=2.85463
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
25318, 3846, 704743, 82666, 708787, 38698, 3829, 258084
13329, 2582, 705483, 72206, 708279, 22876, 2583, 280197
10457, 2752, 863378, 55287, 866366, 13411, 2754, 296390
10129, 3822, 529755, 56359, 533757, 10120, 3824, 275437
11476, 2461, 726013, 59574, 728712, 12448, 2463, 288747
12982, 3163, 576629, 58263, 579963, 21256, 3039, 270045
13598, 2236, 714273, 59331, 716762, 19595, 2238, 287902
11671, 3333, 691818, 59115, 695321, 19130, 3335, 269300
12357, 2242, 727724, 57076, 730233, 17277, 2242, 266885
12970, 3388, 603261, 58622, 606964, 16890, 3367, 283654
12960, 4058, 674355, 58119, 678662, 20944, 4060, 286381
11413, 3375, 785291, 53909, 788917, 11404, 3360, 301582
11219, 2804, 753770, 56530, 756959, 18557, 2752, 295697
11633, 9136, 631006, 56155, 640316, 20145, 8429, 271101
11506, 2488, 735700, 51690, 738458, 14305, 2290, 285127
13185, 3951, 701294, 57490, 705410, 22517, 3507, 268219
10302, 2238, 712127, 54880, 714615, 10292, 2239, 271303
13229, 3378, 639229, 55061, 642804, 15972, 3362, 273691
10162, 2675, 567782, 56338, 570756, 10152, 2677, 271563
12345, 3909, 582781, 60621, 586897, 19663, 3911, 264278
12794, 2795, 719039, 57888, 722031, 13498, 2717, 284384
12572, 2589, 782395, 60416, 785172, 18990, 2590, 305045
10909, 3905, 784523, 59662, 788665, 13075, 2522, 281966
12996, 3057, 774300, 59299, 777643, 18291, 3059, 277416
11892, 2327, 616691, 59996, 619317, 16043, 2240, 284311
12910, 3223, 730285, 61199, 733788, 13533, 2907, 283123
12885, 3168, 783897, 59594, 787317, 21285, 3111, 286216
11428, 3054, 637262, 61390, 640486, 18898, 2999, 266597
12154, 2232, 763639, 68127, 766087, 14246, 2234, 281389
11453, 2708, 619449, 59366, 622354, 16509, 2710, 258523
11185, 2751, 703171, 59203, 706175, 10451, 2753, 269885
11353, 3378, 704560, 62609, 708269, 11344, 3358, 299198
33506, 3918, 769596, 94179, 773831, 26569, 3920, 290818
