mode: serial False, gpu False,,,,,,
GPU use = False,,,,,,,
gpuStart, gpuEnd, cpuStart, cpuEnd,,,,
1.57829349480842E+015,1.57829349486556E+015,1.5782934945357E+015,1.57829349480006E+015,,57136,264359,-272720.75
1.57829349506597E+015,1.57829349511459E+015,1578293494800328,1.57829349500748E+015,,48619,207156.75,-265642.25
1578293495315005,1.57829349536278E+015,1.57829349500838E+015,1578293495205068,,47778.25,196687.5,-306624.5
1.57829349556319E+015,1578293495624063,1578293495205191,1.5782934954012E+015,,60875.5,196012.25,-357996.5
1.57829349562421E+015,1.57829349567053E+015,1578293495402081,1.57829349559349E+015,,46324.5,191406.75,-222125.25
1578293495871025,1.57829349591515E+015,1.57829349559483E+015,1.57829349578084E+015,,44126.75,186016.75,-276198.5
1.57829349611569E+015,1.57829349616339E+015,1578293495782001,1.57829349596559E+015,,47701,183591.25,-333689.25
1578293496163620,1.57829349621163E+015,1.57829349596581E+015,1578293496149046,,48008.25,183236.75,-197810.75
1.57829349641207E+015,1.57829349645658E+015,1.57829349615024E+015,1.57829349633085E+015,,44507.5,180617,-261833.5
1.57829349665735E+015,1.57829349671302E+015,1.57829349633103E+015,1.57829349651574E+015,,55667.75,184706.25,-326316.25
----------------,,,,,,,
mode: serial False, gpu False
GPU use = False
gpuStart, gpuEnd, cpuStart, cpuEnd
1578294066920558.0, 1578294066971455.2, 1578294066553564.2, 1578294066752955.8
1578294066971691.2, 1578294067019933.0, 1578294066753090.2, 1578294066952450.8
1578294067220305.5, 1578294067269817.8, 1578294066952654.0, 1578294067149128.2
1578294067470210.5, 1578294067518543.0, 1578294067149985.5, 1578294067346864.2
1578294067718971.8, 1578294067771137.0, 1578294067347175.5, 1578294067543097.5
1578294067771268.2, 1578294067819771.5, 1578294067543994.5, 1578294067739904.0
1578294068020170.0, 1578294068070546.8, 1578294067740879.2, 1578294067937482.0
1578294068270960.0, 1578294068319030.8, 1578294067938439.5, 1578294068135859.5
1578294068519440.0, 1578294068568591.0, 1578294068136792.2, 1578294068333666.0
1578294068568690.2, 1578294068613484.0, 1578294068333789.0, 1578294068529260.0
1578294068813906.0, 1578294068861556.5, 1578294068530151.2, 1578294068711611.2
1578294069062013.2, 1578294069110277.8, 1578294068711926.5, 1578294068904161.8
1578294069110526.2, 1578294069161159.8, 1578294068905021.5, 1578294069097993.8
1578294069361589.5, 1578294069409897.0, 1578294069098868.2, 1578294069297258.5
1578294069610477.2, 1578294069659027.5, 1578294069297378.5, 1578294069493085.8
1578294069859497.5, 1578294069910393.8, 1578294069493188.8, 1578294069688553.8
1578294069910605.2, 1578294069960454.8, 1578294069688664.0, 1578294069882453.0
1578294070160925.5, 1578294070209151.2, 1578294069882658.0, 1578294070084199.5
1578294070409710.8, 1578294070458422.2, 1578294070084362.5, 1578294070283345.5
1578294070658818.5, 1578294070708574.2, 1578294070283459.5, 1578294070478240.2
1578294070708796.5, 1578294070758188.2, 1578294070479127.2, 1578294070672158.2
1578294070958697.5, 1578294071007501.5, 1578294070673030.8, 1578294070872161.0
1578294071207917.2, 1578294071255937.0, 1578294070873030.0, 1578294071069602.0
1578294071456322.8, 1578294071507883.2, 1578294071069738.8, 1578294071265059.8
1578294071508121.8, 1578294071557662.5, 1578294071265941.0, 1578294071459869.0
1578294071758087.8, 1578294071806622.0, 1578294071460741.5, 1578294071659469.0
1578294072007037.2, 1578294072055068.2, 1578294071659582.8, 1578294071854917.8
1578294072055299.8, 1578294072107849.5, 1578294071855775.0, 1578294072049419.5
1578294072308382.0, 1578294072356887.0, 1578294072050316.8, 1578294072249171.5
1578294072557309.0, 1578294072605461.2, 1578294072250045.5, 1578294072447904.8
1578294072805878.8, 1578294072855021.8, 1578294072448800.0, 1578294072642652.8
1578294072855266.5, 1578294072905511.5, 1578294072643627.8, 1578294072836902.5
1578294073106036.5, 1578294073154698.2, 1578294072837854.2, 1578294073035556.2
1578294073355223.8, 1578294073403853.2, 1578294073035694.0, 1578294073232249.5
1578294073604392.0, 1578294073654642.8, 1578294073232364.5, 1578294073427599.0
1578294073654882.5, 1578294073704898.5, 1578294073428480.8, 1578294073622646.8
1578294073905335.8, 1578294073953736.0, 1578294073623630.5, 1578294073822810.8
1578294074154274.0, 1578294074202958.8, 1578294073823709.0, 1578294074019958.2
1578294074403528.2, 1578294074453124.0, 1578294074020071.8, 1578294074216984.5
1578294074453229.5, 1578294074503457.5, 1578294074217868.2, 1578294074413065.2
1578294074703999.5, 1578294074752268.2, 1578294074413926.5, 1578294074611476.2
1578294074952667.5, 1578294075001004.5, 1578294074612391.2, 1578294074806582.5
1578294075201593.5, 1578294075253746.0, 1578294074806697.2, 1578294075000274.2
1578294075254047.8, 1578294075305139.5, 1578294075000475.0, 1578294075202776.8
1578294075505557.0, 1578294075553784.2, 1578294075203856.2, 1578294075402963.5
1578294075754336.8, 1578294075802437.8, 1578294075403901.8, 1578294075601645.0
1578294075802637.2, 1578294075849504.8, 1578294075601762.8, 1578294075796455.2
1578294076049973.0, 1578294076095150.5, 1578294075797517.5, 1578294075975982.8
1578294076295579.2, 1578294076340504.5, 1578294075976250.0, 1578294076160716.8
1578294076541202.5, 1578294076596125.8, 1578294076160992.0, 1578294076345517.0
----------------

