Detection method: Serial
Clock = 344535258.000000, Chrono = 379613201, TimeR = 380.000000
Clock = 344535263.000000, Chrono = 379613204, TimeR = 380.000000

GPU use = 0
clockPerSec,1000000
FPS=0.870738
transTime, feedNetTime, netTime, transClock, feedNetClock, netClock
11625, 17, 1237003, 11493, 21, 1087253
11961, 17, 1233729, 11807, 21, 1089287
11700, 17, 1227397, 11697, 21, 1089250
11188, 17, 1233179, 11161, 21, 1091512
11714, 17, 1237669, 11467, 22, 1089060
11856, 17, 1228079, 11837, 21, 1088818
12245, 18, 1231541, 11898, 23, 1087672
14669, 16, 1228472, 12655, 20, 1089166
18001, 17, 1227935, 12125, 21, 1088275
11694, 17, 1217268, 11369, 21, 1088762
20967, 18, 1221839, 11450, 22, 1086451
11964, 17, 1247042, 11862, 21, 1086639
11553, 17, 1220872, 11516, 21, 1088314
11749, 17, 1226460, 11633, 19, 1087780
11558, 17, 1237426, 11475, 21, 1092137
12356, 16, 1234620, 11873, 20, 1088556
11501, 17, 1230921, 11346, 21, 1090114
11208, 16, 1231427, 11007, 19, 1090429
11499, 17, 1246100, 11173, 36, 1089132
11806, 17, 1225442, 11706, 20, 1090321
11714, 18, 1233084, 11335, 22, 1087634
18299, 18, 1239069, 12019, 22, 1088189
20872, 17, 1240353, 11860, 21, 1091985
12498, 17, 1295125, 12263, 21, 1123805
11985, 18, 1256239, 11982, 21, 1103695
11572, 17, 1227413, 11470, 21, 1086455
11183, 16, 1254130, 11064, 20, 1088797
11823, 17, 1224752, 11819, 21, 1087937
11840, 17, 1234531, 11730, 21, 1088273
11313, 17, 1254924, 11139, 21, 1090887
11818, 17, 1199687, 11815, 21, 1092227
12291, 18, 1241347, 11967, 22, 1088490
12208, 18, 1227607, 11797, 22, 1090328
20875, 18, 1218920, 12098, 21, 1085852
11649, 17, 1237197, 11647, 21, 1086365
11927, 17, 1224566, 11698, 21, 1088547
11357, 17, 1224849, 11254, 21, 1090147
10211, 17, 1239370, 10184, 21, 1091239
11643, 17, 1227913, 11310, 22, 1089681
11947, 18, 1217738, 11720, 22, 1087450
11850, 18, 1237703, 11701, 21, 1087520
11734, 16, 1215918, 11731, 21, 1088092
11955, 17, 1236345, 11809, 22, 1089704
----------------

