Detection method: Pipeline
Clock = 37185088.000000, Chrono = 20211673, TimeR = 20.000000
Clock = 347643374.000000, Chrono = 369793215, TimeR = 369.000000

GPU use = 0
clockPerSec,1000000
FPS=0.862953
transTime, feedNetTime, netTime, thread#1, thread#2, transClock, feedNetClock, netClock
10623, 795, 1237841, 58565, 1238826, 21202, 796, 1091574
11806, 2320, 1204305, 58321, 1206801, 12458, 823, 1095974
10837, 847, 1230799, 61692, 1231821, 21492, 849, 1092308
16554, 801, 1237249, 68432, 1238242, 27838, 803, 1094350
11316, 843, 1194354, 58717, 1195367, 22452, 796, 1093126
10378, 849, 1226162, 62159, 1227191, 20737, 804, 1093054
12456, 803, 1250715, 64182, 1251687, 16744, 805, 1092397
11461, 921, 1181997, 60270, 1183100, 22585, 815, 1091937
10976, 796, 1238982, 62493, 1239953, 21674, 798, 1090464
11037, 890, 1238261, 61867, 1239327, 16631, 799, 1092669
10338, 801, 1204068, 58956, 1205050, 20543, 803, 1095548
11251, 875, 1227476, 61704, 1228527, 22032, 800, 1093969
10675, 796, 1226728, 60999, 1227685, 21300, 798, 1093795
11876, 793, 1221052, 60223, 1222036, 23597, 796, 1091551
11223, 836, 1221919, 63902, 1222930, 13170, 838, 1090851
15049, 789, 1226641, 63594, 1227610, 29869, 792, 1092325
11190, 795, 1211172, 59080, 1212142, 21751, 798, 1098216
12230, 792, 1241622, 63275, 1242588, 24323, 794, 1092994
11169, 800, 1209277, 114651, 1210250, 13937, 801, 1094326
14410, 799, 1238915, 66759, 1239897, 26977, 800, 1090892
11532, 873, 1226814, 62301, 1227857, 23044, 875, 1091218
11487, 898, 1231629, 61414, 1232689, 22035, 812, 1095577
12713, 792, 1208311, 58988, 1209284, 25407, 794, 1097309
11957, 877, 1235011, 60319, 1236064, 23893, 807, 1093559
10166, 793, 1210106, 59949, 1211072, 20316, 795, 1093549
11456, 793, 1241648, 59947, 1242618, 22593, 796, 1091690
13196, 788, 1245727, 61515, 1246694, 26095, 790, 1093402
10162, 778, 1215632, 59933, 1216587, 20152, 779, 1095879
11534, 789, 1229710, 60531, 1230678, 16290, 791, 1091233
11928, 795, 1271727, 61032, 1272725, 23688, 798, 1092402
10803, 1015, 1197859, 60863, 1199059, 21553, 1001, 1097688
10181, 796, 1234963, 57602, 1235934, 20231, 799, 1093964
11016, 824, 1236180, 60510, 1240347, 21744, 799, 1091888
11047, 848, 1207598, 60420, 1208626, 15431, 850, 1093000
15171, 6085, 1238963, 62896, 1245230, 30102, 880, 1091552
10309, 790, 1226783, 60732, 1227737, 20299, 793, 1096559
13309, 826, 1242347, 63044, 1243348, 22966, 828, 1091699
10205, 780, 1241618, 56807, 1242575, 20121, 782, 1090683
11911, 799, 1269951, 61163, 1270911, 17791, 801, 1096050
10012, 810, 1194605, 57071, 1195604, 19824, 812, 1095288
10189, 784, 1245207, 52728, 1246173, 19887, 786, 1091566
10113, 905, 1230937, 54847, 1232018, 20097, 907, 1095866
11631, 801, 1238252, 57457, 1239247, 22865, 804, 1095073
10378, 809, 1259783, 52627, 1260771, 20580, 811, 1091049
10272, 870, 1220422, 56902, 1221469, 20369, 871, 1093203
11121, 794, 1236406, 57797, 1237469, 14527, 796, 1093378
11617, 762, 1247986, 56636, 1248936, 22871, 764, 1091507
10528, 824, 1209115, 60504, 1210116, 19136, 827, 1094488
10206, 836, 1248764, 67531, 1249794, 20211, 837, 1092225
13259, 782, 1246535, 58174, 1247499, 26321, 784, 1092609
10833, 795, 1226374, 57508, 1227343, 15678, 797, 1093018
11380, 860, 1240510, 60141, 1241546, 22671, 801, 1090608
10716, 796, 1249568, 56300, 1250520, 17683, 799, 1095181
12080, 796, 1237119, 58969, 1238114, 24137, 798, 1091752
10493, 939, 1239362, 59034, 1240481, 20346, 835, 1092428
10893, 793, 1241825, 55269, 1242795, 21412, 794, 1092488
10522, 801, 1214929, 57545, 1215907, 20872, 803, 1092727
12270, 809, 1263657, 59151, 1264648, 16402, 811, 1092202
10695, 804, 1216330, 56732, 1217308, 21249, 807, 1095418
12425, 852, 1240882, 57273, 1241924, 21731, 804, 1093319
10280, 808, 1248723, 56968, 1249705, 20415, 781, 1091138
14159, 793, 1233441, 56248, 1234382, 27652, 795, 1096397
----------------

